location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature,Precipitation Total,Snowfall Amount,Relative Humidity,Relative Humidity,Relative Humidity,Cloud Cover Total,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
unit,°C,°C,°C,mm,cm,%,%,%,%,km/h,km/h,km/h,°
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc,sfc,2 m,2 m,2 m,sfc,10 m,10 m,10 m,10 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation,Summation,Maximum,Minimum,Mean,Mean,Maximum,Minimum,Mean,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Snowfall Amount,Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Cloud Cover Total,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m]
20210216T0000,14.250529,2.0405285,7.4538617,0.0,0.0,88.0,56.0,69.583336,52.795837,12.371645,0.0,5.8303456,144.63754
20210217T0000,12.200529,6.8205285,9.542611,0.1,0.0,89.0,59.0,73.0,34.312496,30.599998,3.7064266,15.1360235,266.74112
20210218T0000,15.770529,1.2005286,8.8526125,0.0,0.0,96.0,31.0,63.458332,47.083332,26.787966,8.942214,16.290056,176.91887
20210219T0000,14.890529,9.390529,11.655529,0.0,0.0,74.0,54.0,65.583336,55.858334,24.798223,1.2979984,8.819115,199.62567
20210220T0000,18.360529,5.7005286,10.278446,0.0,0.0,79.0,34.0,60.583332,3.4999998,18.0,7.7043357,11.86605,124.38676
20210221T0000,16.520529,3.2905285,9.341362,0.0,0.0,78.0,40.0,57.958332,0.0,15.778518,5.3999996,11.499875,113.625046
20210222T0000,18.010529,0.85052866,9.257195,0.0,0.0,79.0,34.0,55.833332,9.570834,23.006226,3.8268526,13.391846,115.364845
20210223T0000,18.70053,9.680529,12.739696,0.0,0.0,68.0,42.0,55.666668,1.6708332,15.408671,1.8,7.4995694,137.45905
20210224T0000,20.440529,8.960529,12.959697,0.0,0.0,66.0,35.0,55.083332,0.0,15.7908325,4.829907,9.146145,119.054596
20210225T0000,18.07053,8.770529,13.237195,0.0,0.0,69.0,45.0,54.208332,0.0,10.233123,0.35999998,4.670967,125.425766
20210226T0000,15.410529,7.8405285,11.246778,0.2,0.0,86.0,54.0,72.208336,47.354168,23.441502,0.35999998,10.45142,355.38672
20210227T0000,11.480529,5.1805286,8.001779,0.6,0.0,88.0,35.0,60.0,37.791668,28.817993,3.8268526,15.813586,62.975357
20210228T0000,12.370529,-0.30947134,4.151362,0.0,0.0,95.0,37.0,74.583336,41.666668,14.764389,3.096837,7.596501,25.486374
20210301T0000,13.740529,0.34052867,6.4838624,0.0,0.0,84.0,42.0,64.0,0.0,17.377226,3.7585104,8.681525,105.85821
20210302T0000,16.740528,2.0005286,8.899279,0.0,0.0,75.0,37.0,57.25,0.71250004,11.384198,1.1384199,7.7650466,111.64792
20210303T0000,16.90053,5.7705283,11.013447,0.0,0.0,58.0,24.0,45.125,4.4125,9.290511,0.35999998,5.281362,143.40068
20210304T0000,14.770529,7.540529,10.70803,0.5,0.0,89.0,48.0,63.541668,81.166664,20.991426,2.5959969,9.707852,262.97723
20210305T0000,8.270529,4.5805287,6.7596946,0.0,0.0,93.0,62.0,77.041664,99.708336,23.042812,6.489992,15.074233,359.32245
20210306T0000,10.460529,-0.43947133,4.6867785,0.0,0.0,70.0,31.0,50.458332,5.375,24.490587,5.0142193,14.232685,90.18422
20210307T0000,11.840529,1.1405287,6.277612,0.0,0.0,75.0,47.0,58.75,28.875,13.37825,1.484318,8.996946,155.13629
20210308T0000,9.850529,0.61052865,5.1738615,0.0,0.0,81.0,49.0,65.791664,24.208334,15.484185,2.5455842,9.222076,324.79337
20210309T0000,9.5505295,0.23052865,4.7734456,0.0,0.0,82.0,44.0,63.375,51.108334,16.311613,0.5091169,6.3214226,330.01337
20210310T0000,11.890529,2.5305285,7.470112,0.0,0.0,82.0,45.0,62.041668,64.4375,14.77755,1.4399999,6.0972958,268.67548
20210311T0000,14.390529,8.670529,11.129696,3.2,0.0,79.0,38.0,61.416668,88.166664,38.706276,5.8603754,25.081797,247.62186
20210312T0000,10.780529,5.2705283,7.7446957,0.0,0.0,77.0,46.0,62.791668,38.583332,31.983318,22.086521,26.634705,255.91635
20210313T0000,11.710529,5.8605285,8.233862,0.7,0.0,74.0,51.0,63.541668,83.958336,47.194336,26.932714,35.182194,242.67355
20210314T0000,6.5005283,2.1605287,4.7821956,2.6999998,0.0,85.0,64.0,76.083336,73.708336,40.68637,19.9954,30.365746,274.81415
20210315T0000,8.510529,3.4005284,5.666779,1.8000002,0.0,85.0,59.0,75.291664,87.625,47.656166,14.4,26.2566,280.59036
20210316T0000,7.5505285,-0.09947134,3.777612,1.0,0.0,91.0,54.0,75.083336,69.333336,24.967499,11.5199995,17.816488,277.48187
20210317T0000,6.6605287,2.0405285,4.109695,1.9000001,0.0,93.0,60.0,79.083336,80.041664,25.683926,4.829907,15.438315,351.1529
20210318T0000,6.3205285,-0.14947134,3.0734453,0.0,0.0,90.0,46.0,68.541664,55.875,12.682018,1.2979984,7.041223,23.075714
20210319T0000,6.2605286,-0.82947135,2.9546955,0.4,0.0,81.0,52.0,65.5,59.041668,22.35481,3.8773184,11.675357,41.89897
20210320T0000,5.5205283,-2.5794713,1.5009452,0.0,0.0,92.0,31.0,57.333332,46.875,24.627787,3.396233,14.299895,45.410706
20210321T0000,8.420529,-1.2894714,3.5071955,0.0,0.0,75.0,36.0,57.166668,56.416668,17.208603,0.71999997,8.272477,359.27783
20210322T0000,7.8305287,-0.69947135,3.782195,0.0,0.0,95.0,55.0,75.125,43.154163,18.792551,1.484318,9.2218075,359.89087
20210323T0000,11.440529,-0.57947135,5.5838623,0.0,0.0,88.0,50.0,68.25,44.454166,12.522619,3.8773184,7.492003,41.213882
20210324T0000,16.410528,2.5005286,9.599696,0.0,0.0,86.0,35.0,56.666668,1.6458334,11.620809,2.3051248,6.8547034,111.428665
20210325T0000,15.630529,6.3605285,11.012195,0.0,0.0,69.0,42.0,53.416668,43.170834,18.888851,1.2979984,9.564705,265.105
20210326T0000,17.07053,7.1605287,12.164695,0.1,0.0,84.0,45.0,63.375,65.725,9.885262,1.0182338,5.3142037,163.6949
20210327T0000,12.280529,5.1205287,8.930112,3.4,0.0,87.0,39.0,60.916668,34.966663,27.691935,8.587338,21.088406,268.529
20210328T0000,15.860529,3.1405284,9.458446,0.0,0.0,67.0,39.0,53.083332,7.2208343,9.107359,1.9386592,5.9243145,170.82646
20210329T0000,20.04053,6.1805286,13.377196,0.0,0.0,65.0,27.0,47.291668,6.5,6.9899354,1.08,3.9910707,110.96268
20210330T0000,22.38053,9.420529,15.874279,0.0,0.0,62.0,28.0,44.583332,16.383333,12.57426,1.835647,7.182625,111.33876
20210331T0000,23.73053,10.730529,17.345114,0.0,0.0,59.0,35.0,47.75,4.0833335,5.815978,0.0,3.7362883,154.5807
20210401T0000,23.80053,13.790529,18.602613,0.0,0.0,61.0,31.0,46.416668,0.0,12.10157,1.4399999,6.44738,257.11804
20210402T0000,15.930529,6.9005284,11.540528,0.0,0.0,89.0,43.0,65.375,15.791667,26.727423,4.0249224,14.909032,337.1161
20210403T0000,12.040529,1.6305287,6.6863613,0.0,0.0,87.0,35.0,62.208332,45.958332,23.936617,2.4149535,11.703079,51.693573
20210404T0000,13.970529,0.17052865,7.0926127,0.0,0.0,76.0,40.0,56.291668,0.0,17.106628,0.8049845,7.832332,4.613861
20210405T0000,13.920529,1.5205287,7.195112,3.7,2.1,91.0,42.0,60.958332,57.0625,42.175346,5.0142193,20.295784,289.3531
20210406T0000,5.1405287,-1.8494713,1.4042786,2.0,1.3299999,93.0,36.0,60.958332,65.875,27.70831,1.484318,16.307602,296.37122
20210407T0000,6.9805284,-3.7694714,2.2405283,0.70000005,0.49,83.0,33.0,56.791668,83.541664,49.00498,17.782688,31.551416,289.15222
20210408T0000,11.5505295,0.5205287,6.438028,0.0,0.0,76.0,36.0,51.833332,34.291668,20.545246,1.4399999,8.8914585,293.56036
20210409T0000,18.850529,1.3905287,10.120528,0.0,0.0,60.0,26.0,43.25,62.441666,22.26477,2.8116899,9.5412245,213.95906
20210410T0000,18.990528,8.440529,13.464279,0.3,0.0,66.0,33.0,49.25,72.10833,15.509274,0.8049845,7.137253,223.75848
20210411T0000,19.95053,7.9105287,13.1096945,7.7999997,0.0,88.0,32.0,66.666664,77.42083,24.149532,5.1165614,12.43755,251.0502
20210412T0000,9.620529,1.6805286,5.3705287,7.7999997,1.12,92.0,41.0,72.5,65.291664,19.05281,5.3517847,12.016792,354.71988
20210413T0000,8.340529,-1.0494714,4.190945,0.0,0.0,89.0,45.0,64.791664,15.583333,13.358861,1.0182338,5.9011645,53.71261
20210414T0000,10.400529,-1.1694714,4.885529,0.0,0.0,72.0,29.0,50.583332,40.75,16.299694,0.0,8.850485,48.63817
20210415T0000,9.100529,-0.6694713,4.864696,0.0,0.0,80.0,32.0,50.708332,38.833332,18.678415,1.484318,10.187503,53.41384
20210416T0000,11.770529,-1.3694713,4.7651114,0.0,0.0,78.0,32.0,54.75,18.916666,18.584509,1.5273507,8.14747,30.137527
20210417T0000,11.860529,1.2305287,6.8576126,0.0,0.0,78.0,42.0,59.666668,50.166668,17.31746,0.8049845,7.6171646,35.53766
20210418T0000,11.530529,4.7605286,8.348447,0.90000004,0.0,92.0,55.0,70.208336,84.5,16.862455,2.0364676,8.715188,347.2929
20210419T0000,14.5505295,5.040529,9.564279,0.0,0.0,90.0,43.0,67.375,31.333334,14.05845,1.4399999,5.650011,18.287277
20210420T0000,16.350529,5.3005285,11.178863,0.0,0.0,83.0,37.0,56.833332,8.791667,8.473393,2.0991426,5.3163695,98.949455
20210421T0000,17.30053,6.1705284,12.117195,0.0,0.0,71.0,38.0,53.125,6.7083335,9.339208,1.2979984,6.330026,24.72731
20210422T0000,16.95053,6.0105286,11.77428,0.0,0.0,80.0,39.0,56.375,13.150001,22.725668,1.1384199,11.448741,348.91745
20210423T0000,19.170528,2.4205287,11.160945,0.0,0.0,65.0,32.0,46.625,0.0,11.367109,1.1384199,6.4662666,70.97439
20210424T0000,19.97053,3.9205287,12.043445,0.0,0.0,67.0,31.0,50.833332,0.0,13.004921,4.8433046,8.319737,22.121933
20210425T0000,19.250528,6.4105287,12.485944,0.0,0.0,72.0,44.0,58.458332,30.858332,17.555305,1.835647,8.559164,347.86746
20210426T0000,18.930529,4.2705283,11.224694,0.0,0.0,70.0,33.0,52.708332,24.683332,22.33161,2.0991426,10.125701,59.686676
20210427T0000,18.750528,2.2505286,10.878861,0.0,0.0,74.0,36.0,52.0,3.5291665,12.287555,1.9386592,7.7810116,330.44632
20210428T0000,19.29053,10.410529,14.319279,4.6,0.0,86.0,44.0,59.458332,79.166664,26.712873,1.9386592,11.979199,203.46402
20210429T0000,15.470529,9.540529,12.724696,2.2,0.0,86.0,48.0,64.666664,96.083336,25.364037,4.6800003,12.505742,266.37183
20210430T0000,14.320529,8.330529,10.858864,1.4,0.0,86.0,56.0,74.458336,98.75,24.821732,2.0991426,11.2224655,339.46616
20210501T0000,15.670529,7.4805284,10.045945,7.2,0.0,94.0,58.0,81.416664,90.083336,22.963936,0.8049845,11.91612,338.89157
20210502T0000,10.430529,5.8205285,8.759696,5.7000003,0.0,94.0,56.0,75.666664,77.5,19.48661,8.311245,12.553754,280.0208
20210503T0000,15.400529,2.9905286,9.647612,0.0,0.0,84.0,36.0,57.5,26.916666,11.119281,0.8049845,4.119337,185.7106
20210504T0000,18.170528,6.8905287,12.358445,1.2,0.0,77.0,39.0,54.625,63.966663,40.199284,7.754637,23.005972,247.1922
20210505T0000,11.330529,5.5205283,9.786363,2.8999999,0.0,83.0,42.0,60.416668,62.458332,31.559088,7.7043357,23.563377,265.54837
20210506T0000,13.910529,5.9505286,10.159696,6.7,0.0,85.0,54.0,66.416664,83.208336,37.1969,4.3349743,18.670477,248.45161
20210507T0000,13.880529,6.1305285,10.032613,1.9,0.0,89.0,39.0,64.25,60.354168,31.796375,7.208994,16.957033,277.56238
20210508T0000,20.740528,5.0905285,13.370528,0.0,0.0,80.0,38.0,56.791668,11.575001,12.261157,1.08,6.874897,135.33376
20210509T0000,27.530529,7.3805285,18.26386,0.0,0.0,95.0,27.0,57.666668,18.237501,22.180206,4.1046314,14.010106,135.55042
20210510T0000,17.860529,13.3005295,15.743862,0.1,0.0,93.0,58.0,71.25,97.01666,25.9225,6.193674,15.011234,337.75928
20210511T0000,16.920528,10.400529,12.29303,12.8,0.0,96.0,67.0,85.208336,97.25,19.959719,2.8116899,8.511387,246.56635
20210512T0000,16.510529,8.670529,12.419278,2.6000001,0.0,89.0,45.0,67.708336,57.666668,27.397867,2.4149535,15.448017,282.78836
20210513T0000,15.120529,8.520529,11.606362,1.2,0.0,75.0,48.0,63.541668,47.291668,30.018473,0.8049845,13.37345,268.8767
20210514T0000,15.040529,6.2805285,10.725112,0.70000005,0.0,76.0,49.0,66.5,50.375,19.469976,1.2979984,7.882981,251.07066
20210515T0000,15.280529,5.3605285,10.779279,1.0,0.0,82.0,47.0,67.041664,76.375,33.108257,2.5959969,13.735032,222.82025
20210516T0000,16.32053,7.8005285,12.121361,2.7000003,0.0,79.0,54.0,71.541664,83.041664,20.898611,2.1897945,11.390701,245.10098
20210517T0000,13.760529,8.380529,11.238861,0.70000005,0.0,81.0,58.0,69.625,85.541664,34.763775,16.09969,26.623297,254.3665
20210518T0000,14.980529,9.260529,11.610944,0.2,0.0,82.0,50.0,66.583336,59.0,25.509243,8.4042845,19.501028,268.81696
